iter	MultiClass
0	0.9993872191
1	0.9260775255
2	0.8652579831
3	0.8158429133
4	0.7742433144
5	0.7400189321
6	0.7100898473
7	0.6856540512
8	0.6620322075
9	0.641841445
10	0.6228842737
11	0.6071588109
12	0.5946349089
13	0.582105215
14	0.5717480831
15	0.5623755238
16	0.5540595871
17	0.5468227096
18	0.5397644674
19	0.5339052561
20	0.5277591388
21	0.5226074156
22	0.517425637
23	0.5126073053
24	0.5090007962
25	0.5060369428
26	0.5012356105
27	0.4975462934
28	0.4942947462
29	0.4913772275
30	0.4885388054
31	0.4862279264
32	0.483299893
33	0.4809051035
34	0.4786201386
35	0.4765602495
36	0.4748596206
37	0.4728756274
38	0.4709137206
39	0.4683900561
40	0.466702094
41	0.4649261118
42	0.4633400656
43	0.4617608708
44	0.4602548311
45	0.4591219737
46	0.457629511
47	0.4562944986
48	0.4550473711
49	0.4537767881
50	0.4524074847
51	0.4511658527
52	0.4500941373
53	0.4493421536
54	0.4482297937
55	0.4473929566
56	0.4464915853
57	0.4453710918
58	0.4442377947
59	0.4429839408
60	0.4420414145
61	0.4409511138
62	0.4399456051
63	0.4392847552
64	0.4381527647
65	0.4373011843
66	0.4364819414
67	0.4358067454
68	0.4349815549
69	0.4344455386
70	0.4337417884
71	0.4328437816
72	0.4322204483
73	0.4313371854
74	0.4304697053
75	0.4299073495
76	0.4292048953
77	0.4284580576
78	0.4280111064
79	0.4274774382
80	0.4268838119
81	0.4263114337
82	0.4257520354
83	0.4249124442
84	0.4242768673
85	0.4236178557
86	0.4228734171
87	0.4221605041
88	0.4216568456
89	0.4211538903
90	0.4207040829
91	0.4200006342
92	0.4195527555
93	0.418915768
94	0.4184225102
95	0.4178274969
96	0.4172184849
97	0.416770025
98	0.4159446418
99	0.4154611516
100	0.4149280747
101	0.4143315858
102	0.4138021497
103	0.4133881369
104	0.4131150169
105	0.4125908783
106	0.4121322123
107	0.4117673245
108	0.4110224391
109	0.4102357777
110	0.4096118831
111	0.4087344234
112	0.4084599461
113	0.4076605691
114	0.4072609998
115	0.4065357015
116	0.4061915128
117	0.405659369
118	0.4053389749
119	0.40477263
120	0.4042232319
121	0.4036721654
122	0.4032067552
123	0.4028377136
124	0.4022848434
125	0.4018043282
126	0.401508402
127	0.400948521
128	0.4006338819
129	0.4001101861
130	0.3996472238
131	0.3990753932
132	0.3986311022
133	0.3981051066
134	0.3978131618
135	0.3973673004
136	0.3970207905
137	0.3967242787
138	0.3959854426
139	0.3955040177
140	0.3951306213
141	0.3947956676
142	0.3942828231
143	0.3935728043
144	0.3933059479
145	0.3929436367
146	0.3926869896
147	0.3922070151
148	0.3918826403
149	0.3914284773
150	0.3911815355
151	0.3908737646
152	0.3903138058
153	0.3895520908
154	0.3891070635
155	0.388750936
156	0.3883942998
157	0.388011816
158	0.3876409566
159	0.387431202
160	0.3871045291
161	0.3866984437
162	0.3863494284
163	0.3859306523
164	0.3854982834
165	0.3850929072
166	0.3845561309
167	0.3843580374
168	0.384013523
169	0.3837809639
170	0.3834979653
171	0.3831424291
172	0.3826707307
173	0.3822354238
174	0.3818931068
175	0.3816045228
176	0.3813540937
177	0.3810209096
178	0.3806628672
179	0.3804043743
180	0.3799847181
181	0.3794449844
182	0.3791433783
183	0.3786851392
184	0.3784382565
185	0.3781018862
186	0.3777524348
187	0.3775315921
188	0.3772906799
189	0.3770192087
190	0.3767487817
191	0.3764520336
192	0.3761125457
193	0.375617049
194	0.3751975113
195	0.3748549709
196	0.3745741106
197	0.3743923234
198	0.3740666738
199	0.3736772871
